-4882;-3455;-4496
-3455;5040;1490
-3276;532;596
4036;-377;1409
2659;-1155;-2183
4784;-2251;-2178
63;2115;-2275
3061;3672;288
1042;4652;-901
1926;4597;-761
4944;-2009;-2036
-3940;-853;-3257
186;240;-661
-437;1707;3261
-521;-2079;2524
3164;-2441;4126
786;-4781;-4714
-3351;-4060;-3412
-1806;-4477;-3289
3763;2481;891
-1292;-5045;4205
-934;654;-1335
4450;-477;4796
-4304;-1425;1441
4780;-2023;-4766
2349;2392;-2479
2328;-4667;-4031
-486;-189;3435
-1131;-3070;558
-2285;-2649;4817
3150;-5082;3948
-380;763;2868
125;2408;-4033
-907;1571;2620
3580;-894;4535
4905;-5088;3919
3530;2544;3230
2188;-4761;5077
4615;-1858;-2538
2032;3592;-3678
2734;-4491;-3136
-519;4526;-2791
1141;-4237;637
2549;-1905;-3702
3759;-1593;-20
1535;-704;-4108
-1146;-1998;3188
-3719;3021;-1538
-1377;-193;1146
1622;-1124;2381
-3611;2931;-280
-4033;2066;-3199
-23;4747;-2126
-339;-1619;714
-920;-2317;-1893
2686;4572;154
-3600;2955;-1045
-2554;-980;1510
3547;-3900;4056
-2620;3945;1435
4123;4550;-1201
-3668;-1510;-4076
-5027;1012;-4568
-4348;2145;-953
-4713;-668;1329
-1490;-2522;-1803
4011;4950;1499
-141;3234;-2263
3426;-180;4008
1827;570;1273
4580;5080;-4274
-3354;-2838;3721
90;4106;-3249
4378;4060;2396
2954;-448;-1891
-246;-4064;947
-787;-1611;-2560
-102;-990;-3714
-3859;3849;1518
1697;-360;-1795
558;1135;2185
3125;2510;1669
2256;-2706;-536
1675;4124;-160
-4422;-4168;-3167
-1512;4154;-4687
-3428;4130;-1873
2603;244;-2668
-2679;-4529;-4066
185;4585;-1297
697;-5040;-2102
-49;-1771;1447
-2288;2376;3368
-193;4618;-1822
-2070;-787;-733
4728;-3674;-3644
-1373;-1139;-1213
1936;-473;-829
-2908;3538;171
694;812;-1606
-273;-791;-2442
708;1135;-782
3730;3118;140
-4953;4739;-1031
-4529;-3898;2566
-1420;-1075;-973
-3449;2930;-4772
2144;1612;-1836
4911;-5097;3098
4723;4108;-1553
2799;-1357;-2113
-3910;-5052;-900
-1754;1656;-4454
2033;643;4773
539;4888;-2380
-2237;-465;998
1650;4035;-2081
-3118;-3536;3797
2393;-4220;2862
-2124;-4939;3664
3388;2047;3474
2786;2469;3568
3397;-3423;-725
231;2492;901
-1473;-810;-3375
-1443;3335;4396
-530;-4137;4978
-4644;-3285;771
-3730;1335;-928
-1245;372;-715
-2002;3087;4589
2245;-4845;2995
4692;-1749;-2316
-3920;-3411;-2905
-202;-1521;-769
3244;-2385;-1595
-2499;461;1201
3672;-2295;-293
1862;-3233;-4970
-1667;3486;1863
3894;4524;1695
-1255;-2418;1503
-3332;146;4306
-3860;-2588;-2796
5019;3361;-2287
-2299;2854;2080
-785;-3651;158
-1807;-4658;4603
853;-1611;988
259;-3223;-1750
4059;2250;-209
5026;14;-2158
-2491;61;3265
2085;4791;-2557
-1669;-4814;846
700;-879;-763
660;1456;-4927
681;-350;3683
474;-3921;1519
-4701;4261;-1837
-4350;745;5074
954;4870;1993
1523;490;-1011
-2263;-345;244
5023;-2971;23
233;4745;-3454
-4134;-3005;-3402
-701;-3999;-4347
3527;-773;-1620
2527;4474;600
-2763;3202;1198
-2786;1524;-1948
4590;4346;-1556
-1516;3045;2963
-3608;1362;-1259
1474;-2852;124
